PlayerID,Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)",source_file
Player_2,2026-02-06T19:29:34.009203,multipleTargets,6,290,True,100.0,100.0,0,1864,1430,"(119.44,174.17);(209.33,200.66);(6.04,5.73);(33.38,191.41);(54.02,96.28);(238.78,8.31);(248.93,174.58);(275.26,7.62);(106.08,239.31);(78.29,538.30)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:30:01.320290,multipleTargets,7,410,True,100.0,100.0,0,1684,1457,"(70.58,129.25);(149.84,28.93);(238.66,0.23);(74.73,246.03);(74.01,315.69);(114.16,308.91);(2.77,445.33);(65.12,453.88);(197.51,308.71);(163.25,278.17);(309.90,23.84);(70.28,527.88)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:30:23.865418,multipleTargets,8,505,True,90.91,100.0,1,1982,1661,"(130.04,251.25);(109.82,243.12);(153.93,213.08);(296.34,247.09);(137.27,58.00);(179.80,74.41);(1.68,409.57);(149.52,443.14);(184.43,454.33);(88.01,309.34)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:30:50.729610,multipleTargets,9,625,True,100.0,100.0,0,1696,1588,"(7.65,38.14);(13.42,108.45);(95.17,185.40);(53.71,443.97);(40.76,275.87);(11.05,483.69);(56.72,215.09);(267.57,219.98);(247.03,278.94);(105.43,240.13);(81.97,186.23);(214.68,457.13)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:31:20.249939,multipleTargets,10,700,False,93.33,57.14,1,2744,3101,"(97.55,74.23);(50.68,104.05);(54.14,396.75);(166.55,224.30);(217.06,308.29);(316.88,255.98);(64.68,190.70);(262.86,156.13)",24_attentional_spotter_results.csv
Player_2,2026-02-06T19:31:52.899125,multipleTargets,10,25,False,93.33,21.43,1,3728,1301,"(183.04,402.70);(239.46,354.56);(292.77,275.81)",24_attentional_spotter_results.csv
Player_2,2026-02-06T21:25:48.707214,multipleTargets,1,60,True,100.0,100.0,0,1209,416,"(285.15,197.91);(277.08,49.09);(102.36,355.12);(85.74,50.98);(282.83,380.98);(36.40,538.73)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:26:04.587868,multipleTargets,2,140,True,100.0,100.0,0,1027,265,"(242.34,224.39);(166.90,274.85);(85.06,301.58);(156.53,149.99);(175.14,476.69);(33.89,462.91);(188.68,565.53);(280.65,555.52)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:26:19.251302,multipleTargets,3,220,True,100.0,100.0,0,1469,416,"(183.51,167.56);(136.40,212.24);(173.54,298.82);(35.89,130.28);(60.26,79.84);(68.44,456.11);(197.30,465.45);(222.07,539.48)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:26:57.525465,multipleTargets,4,320,True,100.0,100.0,0,1050,1934,"(222.46,236.53);(117.36,271.97);(181.32,327.39);(224.42,83.23);(39.21,216.09);(90.29,241.70);(44.56,589.43);(120.25,478.91);(208.57,124.16);(101.85,278.95)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:27:34.357591,multipleTargets,5,410,True,100.0,100.0,0,1579,966,"(111.01,232.10);(198.93,217.98);(140.25,308.13);(154.70,458.10);(2.67,553.95);(71.45,229.79);(236.24,136.28);(311.59,234.64);(183.42,281.37)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:27:57.825424,multipleTargets,6,510,True,100.0,100.0,0,1053,637,"(285.89,184.06);(256.66,299.17);(188.13,306.90);(231.58,307.27);(166.12,397.43);(18.31,395.65);(53.12,404.16);(227.59,587.78);(105.48,120.60);(114.14,60.72)",25_attentional_spotter_results.csv
Player_2,2026-02-06T21:28:18.417895,multipleTargets,7,630,True,100.0,100.0,0,1018,721,"(272.30,250.26);(251.46,284.18);(258.28,429.80);(189.95,496.38);(16.40,355.28);(7.59,393.25);(144.03,259.07);(51.17,89.09);(318.87,28.09);(240.88,522.27);(102.10,557.05);(69.55,606.81)",25_attentional_spotter_results.csv
